aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC

aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC

aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC

aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
test	CVCC		ˈtest	C1VCC
test	CVCC		ˈtest	C1VCC
test	CVCC		ˈtest	C1VCC	_t1EHst.
test	CVCC	0	ˈtest	C1VCC	_t1EHst.
aardvark	VCCCVCC	0,3	ˈärd-ˌvärk	1VCCCVCC	_1AArdvAArk.
aaron	VCVC	0,1	ˈa-rən	1VCVC	_1EHrIXn.
aback	VCVC	0,1	ə-ˈbak	VC1VC	_AXb1AEk.
abacus	VCVCVC	0,1,3	ˈa-bə-kəs	1VCVCVC	_1AEbAXkAXs.
abaft	VCVCC	0,1	ə-ˈbaft	VC1VCC	_AXb1AEft.
abalone	VCVCVCV	0,1,3,5	ˌa-bə-ˈlō-nē	VCVC1VCV	_AEbAXl1OWnIY.
abandon	VCVCCVC	0,1,4	ə-ˈban-dən	VC1VCCVC	_AXb1AEndIXn.
abandoned	VCVCCVCC	0,1,4	ə-ˈban-dənd	VC1VCCVCC	_AXb1AEndIXnd.
abase	VCVC	0,1	ə-ˈbās	VC1VC	_AXb1EYs.
abash	VCVC	0,1	ə-ˈbash	VC1VC	_AXb1AES.
abate	VCVC	0,1	ə-ˈbāt	VC1VC	_AXb1EYt.
abatement	VCVCCVCC	0,1,4	ə-ˈbāt-mənt	VC1VCCVCC	_AXb1EYtmIXnt.
abattoir	VCVCCVC	0,1,3	ˈa-bə-ˌtwär	1VCVCCVC	_1AEbAXtwAAr.
abbess	VCVC	0,1	ˈa-bəs	1VCVC	_1AEbAXs.
